XYZ-ME;symbol;hemisphere;seg_id;optic_lobe_id;dorso-ventral
189472.0,78282.0,2902.0;Tm9;R;720575940616789734;R99;V
184117.0,65174.0,2470.0;Tm9;R;720575940613479074;R100;D
207191.0,77626.0,4711.0;Tm9;R;720575940642371981;R101;V
193387.0,94394.0,4569.0;Tm9;R;720575940626393858;R102;V
205470.0,83546.0,5100.0;Tm9;R;720575940627031570;R103;V
201560.0,81129.0,3938.0;Tm9;R;720575940637834867;R104;V
201756.0,87896.0,4840.0;Tm9;R;720575940627331599;R105;V
194626.0,80713.0,3210.0;Tm9;R;720575940604494694;R106;V
185552.0,79831.0,2804.0;Tm9;R;720575940645816099;R107;V
184842.0,71372.0,2520.0;Tm9;R;720575940633726364;R108;V
201766.0,83910.0,4188.0;Tm9;R;720575940604080318;R109;V
195428.0,57978.0,3314.0;Tm9;R;720575940627095340;R110;D
193165.0,51224.0,3386.0;Tm9;R;720575940637762879;R111;D
187883.0,84441.0,3095.0;Tm9;R;720575940608295726;R112;V
193426.0,60022.0,3022.0;Tm9;R;720575940618650166;R113;D
183806.0,92022.0,3477.0;Tm9;R;720575940622375382;R114;V
188250.0,87370.0,3319.0;Tm9;R;720575940618326875;R115;V
191698.0,94760.0,4354.0;Tm9;R;720575940628769040;R116;V
189812.0,95756.0,4500.0;Tm9;R;720575940625753744;R117;V
204587.0,70057.0,4016.0;Tm9;R;720575940642842676;R118;D
204204.0,81677.0,4509.0;Tm9;R;720575940619897680;R119;V
209201.0,70966.0,4983.0;Tm9;R;720575940622198652;R120;D
194527.0,68463.0,3000.0;Tm9;R;720575940623407556;R121;D
196198.0,78228.0,3259.0;Tm9;R;720575940632157711;R122;V
201959.0,68068.0,3657.0;Tm9;R;720575940633004755;R123;D
189026.0,82280.0,2994.0;Tm9;R;720575940632968860;R124;V
203707.0,83624.0,4488.0;Tm9;R;720575940603557920;R125;V
184086.0,77626.0,2671.0;Tm9;R;720575940645323630;R126;V
199872.0,88513.0,4497.0;Tm9;R;720575940622667784;R127;V
190763.0,76570.0,2917.0;Tm9;R;720575940626856496;R128;V
189986.0,84756.0,3217.0;Tm9;R;720575940610735970;R129;V
201469.0,88369.0,4993.0;Tm9;R;720575940631502035;R130;V
191846.0,86434.0,3398.0;Tm9;R;720575940624511940;R131;V
198195.0,65304.0,3277.0;Tm9;R;720575940610445922;R132;D
192896.0,57469.0,3096.0;Tm9;R;720575940642273677;R133;D
190224.0,52106.0,3256.0;Tm9;R;720575940643763656;R134;D
185991.0,73313.0,2648.0;Tm9;R;720575940631353388;R135;V
189332.0,52930.0,3163.0;Tm9;R;720575940618076902;R136;D
198666.0,86155.0,4022.0;Tm9;R;720575940616149209;R137;V
194531.0,94111.0,4743.0;Tm9;R;720575940627086863;R138;V
180675.0,88861.0,3051.0;Tm9;R;720575940623853565;R139;V
200384.0,75206.0,3484.0;Tm9;R;720575940628791568;R140;V
189054.0,89326.0,3468.0;Tm9;R;720575940631675693;R141;V
196084.0,93463.0,4854.0;Tm9;R;720575940620358253;R142;V
195535.0,89702.0,4143.0;Tm9;R;720575940627250532;R143;V
191053.0,47780.0,3635.0;Tm9;R;720575940626196456;R144;D
209277.0,63842.0,5140.0;Tm9;R;720575940619409232;R145;D
203380.0,76440.0,4045.0;Tm9;R;720575940642834740;R146;V
201474.0,58690.0,3970.0;Tm9;R;720575940611754850;R147;D
206897.0,77980.0,5368.0;Tm9;R;720575940650176889;R148;V
202068.0,70040.0,3699.0;Tm9;R;720575940635145241;R149;D
198630.0,74844.0,3393.0;Tm9;R;720575940622621990;R150;V
195481.0,83924.0,3565.0;Tm9;R;720575940633880415;R151;V
193418.0,73556.0,2925.0;Tm9;R;720575940614678431;R152;V
